arxiv_id,published,year,title,summary,authors,primary_category,all_subjects,math_categories,url,pdf_url
2606.17651v1,2026-06-16,2026,A construction method for 2-phase and 4-phase Golay Complementary Sequences,"Motivated by the recent constructions of Golay Complementary Array (GCA), we extend the ""Three-stage construction"" proposed by Fiedler and Jedwab to a more general form. All the known 2-phase Golay Complementary Sequences (GCSs) of length $2^a10^b26^c,a,b,c\ge 0$ and 4-phase GCSs of length $2^{a+u}3^b5^c11^d13^e$ where $a,b,c,d,e,u\ge0,b+c+d+e\le a+2u+1,u\le c+e$ can be constructed in a uniform method from five 2-phase seeds of length 2,10,10,20,26 and five 4-phase seeds of length 3,5,8,11,13. Furthermore, additional 2-phase and 4-phase GCSs of many lengths are produced and a closed form for numbers of 2-phase and 4-phase GCSs is given.",Xu Wang,math.CO,math.CO,math.CO,http://arxiv.org/abs/2606.17651v1,https://arxiv.org/pdf/2606.17651v1
2606.17604v1,2026-06-16,2026,Spectral recovery of a planted triangle-dense subgraph,"Given a simple graph on $n$ vertices and a parameter $k$, the triangle-densest-$k$-subgraph problem is known to be computationally hard in the worst case. To circumvent the computational hardness, we study an average-case model where a triangle-dense subgraph on $k$ vertices is planted in an Erdős-Rényi random graph on $n$ vertices. For the recovery of the planted subgraph, we propose a simple spectral algorithm and a semidefinite program, both of which use a graph matrix whose entries are local signed triangle counts. Theoretical guarantees for these algorithms are established through spectral analysis of the graph matrix. Finally, we provide evidence showing a statistical-to-computational gap analogous to that for the planted clique problem. The computational threshold in terms of the subgraph size $k$ is at least $\sqrt{n}$ in the framework of low-degree polynomial algorithms, while the information-theoretic threshold is at most logarithmic in $n$.","Sam van der Poel, Cheng Mao, Benjamin McKenna",cs.DS,cs.DS; math.PR; math.ST,math.PR;math.ST,http://arxiv.org/abs/2606.17604v1,https://arxiv.org/pdf/2606.17604v1
2606.17643v1,2026-06-16,2026,Robust Bayesian Portfolio Optimization with Discrepancy-based Posterior Ambiguity,"We study a continuous-time robust Bayesian portfolio optimization problem under drift uncertainty of risky assets. The investor learns unknown asset drifts through Bayesian filtering while considering uncertainty around posterior estimates via discrepancy-based ambiguity sets, including Wasserstein and $L^p$ distances. To address the resulting time inconsistency, we introduce a feedback-type ambiguity framework that reformulates ambiguity conditionally on observable states. This leads to a modified Hamilton--Jacobi--Bellman--Isaacs (HJBI) equation characterizing the value function and the optimal strategy. For a semi-explicit solution example, we use the exponential utility to derive a reduced semilinear parabolic PDE and establish existence of classical solutions via a verification theorem.","Zongxia Liang, Yang Liu, Xingjian Ma",math.OC,math.OC,math.OC,http://arxiv.org/abs/2606.17643v1,https://arxiv.org/pdf/2606.17643v1
2606.17640v1,2026-06-16,2026,A Projection-Free Algorithm for Variational Inequalities in Hilbert Spaces with Strong Convergence,"We study variational inequalities governed by a point-to-set maximal monotone operator in a real Hilbert space and constrained by a convex inequality \(C=\{x\in\Hi:c(x)\le0\}\), where the defining function \(c\) is continuous and not necessarily differentiable. The proposed method uses only projections onto intersections of half-spaces and avoids the metric projection onto \(C\). Feasibility is handled by subgradient cuts and, when a trial operator point is infeasible, by a Slater correction based on a fixed strictly feasible point. The variational inequality is represented by Minty-type separating half-spaces generated at feasible graph points of the operator, and a Haugazeau half-space is added to obtain best-approximation convergence. Under a Slater-corrected feasible-separation condition, together with explicit exact, approximate and finite-candidate oracle realisations, the whole sequence converges strongly to \(P_{S^*}(x^0)\), the projection of the initial point onto the solution set. We also derive best-iterate \(O(N^{-1/2})\) residual estimates for the step residual, feasibility violation and Minty gap. The analysis is stated directly for point-to-set maximal monotone operators, while the concrete oracle realisations include finite-dimensional single-valued models. We record the consequences of strong monotonicity in the point-to-set setting and provide numerical comparisons on nonsmooth and large-scale constraints, including maxima of convex quadratics, a discretised optimal-control problem, mixed-norm sparse recovery, a Cournot--Nash capacity equilibrium, and a genuine point-to-set \(\ell_1\)-subdifferential example.",Reinier Diaz Millan,math.OC,math.OC,math.OC,http://arxiv.org/abs/2606.17640v1,https://arxiv.org/pdf/2606.17640v1
2606.17638v1,2026-06-16,2026,Homogeneous Boltzmann-type equations on dense graphs,"In kinetic theory, interactions between particles are typically assumed to be ""all-to-all"", meaning that any pair of randomly selected particles may, in principle, interact. This assumption originates from the theory of colliding gas molecules; however, it may be less appropriate for describing other forms of interaction, such as social interactions. These are more naturally characterised as ""some-to-some"", reflecting the existence of preferential connections between agents. In this paper, we consider homogeneous Boltzmann-type equations on finite graphs that model such networks of preferential interactions, and we rigorously derive their dense graph limit as the number of agents tends to infinity. We also investigate the long-time behaviour of the limiting equation in the case of linear pairwise interactions, characterising the emergent equilibrium distributions and relating them to their counterparts in the classical ""all-to-all"" setting.","Gabriele Taricco, Andrea Tosin",math-ph,math-ph; math.AP,math.AP,http://arxiv.org/abs/2606.17638v1,https://arxiv.org/pdf/2606.17638v1
2606.17632v1,2026-06-16,2026,Unveiling topology in imaging problems via quasi-isometry and persistent homology,"We show that the topological structures, such as loops, voids, and higher-dimensional holes of unknown objects (of flow of an object in space-time) can be recovered from noisy and indirect measurements. More precisely, we describe how the part of the persistent homology of a space can be determined from a noise-prone and discretized model space when there is a quasi-isometry between the original space and the space modeling indirect measurements. The result not only guarantees the existence of the structures but also provides size bounds for them. The structure is studied using persistent homology, and the results assume the existence of a quasi-isometry between a model space and the noisy measurements. We explore imaging problems, particularly X-ray imaging and EIT, that are well-suited to this framework.","Elli Karvonen, Matti Lassas, Pekka Pankka",math.AT,math.AT,math.AT,http://arxiv.org/abs/2606.17632v1,https://arxiv.org/pdf/2606.17632v1
2606.17629v1,2026-06-16,2026,The Vanishing Viscosity Limit and Boundary Layers for Symmetric Fluid Flows with Anisotropic Viscosity,"We study the vanishing viscosity limit for the incompressible Navier-Stokes equations with anisotropic viscosity in bounded domains, analyzing certain classes of symmetric flows: plane parallel, pipe parallel and circularly symmetric. By anisotropic viscosity, it is meant here that the viscosity coefficient in the direction normal to the wall is different than that in the direction tangential to the wall. Using boundary layer theory and semigroup techniques, we establish the validity of the vanishing viscosity limit in the energy norm, that is, in $L^2$ in space uniformly in time, for all three classes of flows, with explicit convergence rates. We further obtain higher-order estimates under suitable assumptions on the anisotropic viscosity coefficients. In particular, we consider both the case in which the tangential viscosity coefficient goes to zero faster than the normal one and, conversely, the case when the normal coefficient vanishes faster then the tangential one. Our results extend previous works on isotropic viscosity and provide new examples where the vanishing viscosity limit can be rigorously justified in the anisotropic setting.","Valentina Galbiati, Anna Mazzucato, Riccardo Montalto",math.AP,math.AP,math.AP,http://arxiv.org/abs/2606.17629v1,https://arxiv.org/pdf/2606.17629v1
2606.17611v1,2026-06-16,2026,Asymptotic dynamics of inhibitory networks for the NNLIF Model in the large-delay limit,"We investigate the impact of large synaptic delays on the emergence of periodic dynamics in inhibitory neuronal networks, within the framework of the NNLIF model. Inspired by the work of [11] where the notion of pseudo-equilibria was introduced and developed, and by our earlier analysis in [14], we show that, as the delay tends to infinity, solutions of sufficitently inhibitory networks oscillate between distinct pseudo-equilibria over any finite time interval. Employing the Doeblin-Harris method, we rigorously establish a local convergence in the Ces{à}ro mean toward a limit function determined solely by these pseudo-equilibria.","Clément Rieutord, Delphine Salort",math.AP,math.AP,math.AP,http://arxiv.org/abs/2606.17611v1,https://arxiv.org/pdf/2606.17611v1
2606.17608v1,2026-06-16,2026,Two-Echelon Delivery Vehicle Sharing and Repositioning in Hyperconnected Urban Logistic Networks,"In response to the growing demand for sustainable and efficient urban deliveries, this study introduces a two-echelon vehicle sharing and repositioning problem for containerized delivery operations within a hyperconnected urban logistics system. We leverage a Physical Internet (PI)-enabled three-tier logistic hub network, comprising gateway, local, and access hubs, to facilitate efficient flows. By adopting containerized delivery, vehicles can rapidly swap standardized modular containers at hubs to reduce handling time. Moreover, inspired by the PI concept of open resource sharing, we determine optimal service routes within a two-echelon structure that jointly utilizes heterogeneous vehicle fleets and enables dynamic vehicle relocation across hubs. We formulate this problem as a multi-period integer program that integrates path-based service vehicle planning with arc-based container routing. To address real-world large-scale instances, we propose a decomposition-based heuristic with capacity-aware flow assignment, which partitions the problem into subproblems structured by echelons and regions. A case study on the Atlanta metropolitan area demonstrates the effectiveness of the proposed model and solution approach. Experimental results show that the two-echelon hyperconnected delivery system reduces CO2-eq emissions by 45.0% and total costs by 16.8% at full market share compared to a traditional single-echelon alternative, while enabling vehicle repositioning further lowers costs by up to 17.7%.","Xiaoyue Liu, Benoit Montreuil",math.OC,math.OC,math.OC,http://arxiv.org/abs/2606.17608v1,https://arxiv.org/pdf/2606.17608v1
2606.17607v1,2026-06-16,2026,Generalized Frenet frames and frame sequences of singular space curves,"The classical Frenet frame is defined by a concrete construction from the tangent, principal normal, and binormal vectors of a regular space curve. However, this construction breaks down at singular points and at points where the curvature vanishes. Motivated by this observation, we reconsider the Frenet frame from an axiomatic viewpoint and identify the fundamental properties that characterize it independently of its classical construction. Based on the theory of frontals on the unit sphere and Legendre duality, we introduce a generalized Frenet frame for singular space curves. Furthermore, we introduce the notion of a frame sequence, which gives rise to an integer-indexed family of Frenet frames together with the corresponding curvatures and torsions. This viewpoint provides a unified framework encompassing both the Frenet and Bishop frames of space curves and the evolute-involute correspondence for spherical frontals. Moreover, explicit recursive formulas are derived, revealing that the curvatures and torsions at each level encode, respectively, the magnitude and rotational behavior of the invariants arising at the preceding level.",Shun'ichi Honda,math.DG,math.DG,math.DG,http://arxiv.org/abs/2606.17607v1,https://arxiv.org/pdf/2606.17607v1
2606.17726v1,2026-06-16,2026,Gray-Box Optimization using Optimism in the Face of Uncertainty,"This paper considers sequential gray-box optimization where the objective function is given as the composition of a loss function and a parametric model. Crucially, the parameters of the model are unknown and need to be iteratively estimated from noisy observations of the model outputs. This problem setup generalizes the parametric black-box optimization problem known as (contextual) stochastic linear bandit. To address the sequential gray-box optimization problem, we propose a structure-exploiting method that leverages known problem structure given in terms of the loss function and an a priori set of admissible parameters. The method is based on the principle of optimism in the face of uncertainty and trades off exploration and exploitation by minimizing a lower confidence bound on the true objective function. We provide a detailed regret analysis of the novel method, improving on state-of-the-art results for the special case of linear stochastic bandits due to the use of a recently published bound for the parameter confidence sets arising in multi-output linear least-squares estimation. Numerical examples illustrate the superior performance of structure-exploiting methods compared to structure-agnostic approaches.","Katrin Baumgärtner, Léo Simpson, Moritz Diehl",math.OC,math.OC,math.OC,http://arxiv.org/abs/2606.17726v1,https://arxiv.org/pdf/2606.17726v1
2606.17729v1,2026-06-16,2026,Dimension-Free Approximate Tensorization of Quantum Hypercontractivity for Qudit Depolarizing Semigroups,"We prove almost tensorization for hypercontractivity and logarithmic-Sobolev constants for a class of reversible quantum Markov semigroups satisfying the positive off-diagonal scaling (PODS) property. This class includes qubit examples and generalized depolarizing semigroups with respect to full-rank states in arbitrary finite dimensions. For any such semigroup $(Φ_t)_{t\ge 0}$ and every tensor power $n$, we show that the log-Sobolev constant of the product semigroup $Φ_t^{\otimes n}$ is at least $2/(3\ln 2)$, approximately 0.96, times the log-Sobolev constant of the single-site semigroup $Φ_t$, independently of $n$ and the local dimension $d$. The proof first establishes exact tensorization of the $(q,2)$-hypercontractive inequality for integer $q$, in particular $q=3$, and then extends the estimate to all real $q>2$ by complex interpolation; the standard implication from hypercontractivity to logarithmic-Sobolev inequalities yields the stated almost tensorization result. As an application of the same method, we also obtain sharp $(q,2)$-hypercontractivity estimates for qubit depolarizing channels.","Yangjing Dong, Li Gao, Fengning Ou, Penghui Yao, Haigang Zhou",quant-ph,quant-ph; math.OA,math.OA,http://arxiv.org/abs/2606.17729v1,https://arxiv.org/pdf/2606.17729v1
2606.17738v1,2026-06-16,2026,"Sobolev extensions, interpolation inequalities and consequences","We prove Sobolev interpolation inequalities on extension domains that have a form reminiscent of the corresponding whole-space inequalities. This form is crucial in certain applications, which we discuss as well. The technical key ingredient is the notion of a Lebesgue $W^{1,p}$-extension domain, which we introduce here, and our proof that, for $1<p<\infty$, any $W^{1,p}$-extension domain is a Lebesgue $W^{1,p}$-extension domain.","Rupert L. Frank, Pekka Koskela, Riddhi Mishra",math.FA,math.FA,math.FA,http://arxiv.org/abs/2606.17738v1,https://arxiv.org/pdf/2606.17738v1
2606.17740v1,2026-06-16,2026,Uniqueness sets for functions of Dirichlet-type with restricted Taylor coefficients,"Let $H$ be a reproducing kernel Hilbert space over the unit disk $\mathbb{D}$, where analytic monomials span a dense subset. Given $\mathcal{N} \subseteq\mathbb{Z}_+$ and $Λ\subseteq \mathbb{D}$ we say that $(Λ,\mathcal{N})$ is a uniqueness pair for $H$ if $Λ$ is a uniqueness set for the subspace of $H$ spanned by $\{z^n:\;n\in\mathcal{N}\}$. We examine uniqueness pairs in the Dirichlet-type spaces $\mathbb{D}_α$, $0\leqα\leq1$. We prove two complementary results. First, if $\mathcal{N}$ contains sufficiently long finite arithmetic progressions with fixed gap size, then no sequence $Λ$ tending sufficiently rapidly to the boundary forms a uniqueness pair with $\mathcal{N}$. Second, if $\mathcal{N}$ satisfies a suitable arithmetic sparsity condition then one can construct uniqueness pairs $(Λ,\mathcal{N})$ with the points of $Λ$ tending to the boundary arbitrarily fast.","Nazar Miheisi, Daniel Seco",math.CV,math.CV; math.CA; math.FA,math.CA;math.CV;math.FA,http://arxiv.org/abs/2606.17740v1,https://arxiv.org/pdf/2606.17740v1
2606.17779v1,2026-06-16,2026,Sphericality of spaces of conics on homogeneous spaces,"We prove that the Hilbert scheme of conics on $X = G/P$, a projective rational homogeneous space with Picard rank one, is $G$-spherical if and only if $P$ is associated to a long root of the Dynkin diagram.","Minseong Kwon, Nicolas Perrin",math.AG,math.AG,math.AG,http://arxiv.org/abs/2606.17779v1,https://arxiv.org/pdf/2606.17779v1
2606.17778v1,2026-06-16,2026,Third-Order Toeplitz Determinant for a Subclass of Starlike Mappings in Higher Dimensions,The manuscript establishes sharp bound of the third-order Toeplitz determinant for a subclass of starlike mappings defined on the unit ball in a complex Banach space and on bounded starlike circular domains in $\mathbb{C}^n.$,Surya Giri,math.CV,math.CV,math.CV,http://arxiv.org/abs/2606.17778v1,https://arxiv.org/pdf/2606.17778v1
2606.17777v1,2026-06-16,2026,On Response-Adaptive Targeting Strategies for Multi-Treatment Experiments,"Response-adaptive randomization (RAR) in clinical trials aims to improve ethical and statistical efficiency by dynamically allocating patients to treatments based on observed outcomes. While RAR based on a target optimal allocation have been extensively studied for two-arms settings, their extension to multi-treatment experiments ($K \geq 2$) remains theoretically fragmented, with most existing methods focusing on specific algorithms or restricted target allocations. In this paper, we introduce a unified framework for response-adaptive targeting, the $α$-Rebalancing Targeting Strategies ($α$RTS), which generalize the ERADE two-armed strategy of Hu et al. [2009]. We prove that all designs in this family share fundamental asymptotic properties: strong consistency, asymptotic normality of allocation proportions and treatment effect estimators, and asymptotic efficiency. To address sparse target regimes (where some treatments are asymptotically eliminated), we further propose $α$RTS with Forced Exploration, a variant that guarantees infinite sampling for all treatments while preserving the asymptotic guarantees. Extensive simulations illustrate the finite-sample behavior of $α$RTS variants in a 3-armed context, highlighting in particular the critical role of forced exploration in sparse settings.","Redouane Yagouti, Rémy Degenne, Emilie Kaufmann",stat.ME,stat.ME; math.ST; stat.ML,math.ST,http://arxiv.org/abs/2606.17777v1,https://arxiv.org/pdf/2606.17777v1
2606.17772v1,2026-06-16,2026,Finite Difference Implementation of a High-order Space-Time Coupled Compact Gas-Kinetic Scheme,"This study presents a high-order compact finite difference gas-kinetic scheme (FD-CGKS) that introduces a novel spatial discretization strategy for the efficient implementation of space-time coupled high-order schemes on structured grids. A conservative nonlinear compact discretization is achieved by formulating numerical fluxes from physical fluxes at both nodal and interfacial locations. To simplify the multidimensional spatial reconstruction required for the GKS flux evaluation, we propose a dual-grid approach that updates conservative variables on both a primary grid and an identical dual grid, offset by half the mesh spacing. By leveraging the time-accurate interface solutions from the gas-kinetic evolution model, the scheme explicitly updates averaged spatial derivatives between virtual interfaces, naturally enabling compact high-order reconstruction. Furthermore, a nonlinear GENO method is incorporated to capture flow discontinuities with high resolution and robustness, effectively suppressing spurious oscillations. The proposed framework, which also offers new perspectives for designing schemes based on space-time decoupled Riemann solvers, is systematically validated. Comprehensive benchmark computations of inviscid and viscous flows demonstrate the scheme's high accuracy in resolving a wide spectrum of flow features, from smooth multiscale structures to strong shock discontinuities.","Fengxiang Zhao, Yibing Chen, Kun Xu",math.NA,math.NA,math.NA,http://arxiv.org/abs/2606.17772v1,https://arxiv.org/pdf/2606.17772v1
2606.17771v1,2026-06-16,2026,Moment generating function of the tacnode process,"The tacnode process is a universal determinantal point process arising in non-intersecting particle systems and random tiling models. In this paper, we study the generating function for the counting functions of the tacnode process on a union of $m$ intervals, $m\in\mathbb{N}^{+}$. Our first result provides an integral representation for the $m$-point generating function in terms of the Hamiltonian governing a system of $8m+4$ coupled differential equations. Combined with several differential identities for this Hamiltonian, the representation yields the large gap asymptotics, up to and including the constant term. As further applications, we obtain asymptotic formulae for the expectations, variances, and covariances of the counting functions, and establish a central limit theorem for their joint fluctuations. These results extend the previously known $1$-point theory for the tacnode process to the multi-interval setting with multiple discontinuities.",Taiyang Xu,math-ph,math-ph; math.PR,math.PR,http://arxiv.org/abs/2606.17771v1,https://arxiv.org/pdf/2606.17771v1
2606.17770v1,2026-06-16,2026,Generalized Sobolev-Orlicz spaces based on the Riesz fractional gradient as interpolation and potential spaces,"In this work we establish that the recently introduced fractional Sobolev spaces based on the Riesz fractional gradient of Musielak-Orlicz functions by one of the authors, coincide with the space of Bessel potentials of functions on such generalized Orlicz setting. Moreover, we identify them as complex interpolation spaces, and exploiting the well known properties for interpolation of operators we obtain several structural properties for those spaces.","Pedro Miguel Campos, Guillermo García-Sáez",math.FA,math.FA; math.AP,math.AP;math.FA,http://arxiv.org/abs/2606.17770v1,https://arxiv.org/pdf/2606.17770v1
