arxiv_id,published,year,title,summary,authors,primary_category,all_subjects,math_categories,url,pdf_url,passes_filter,category,confidence,reason,classification_date,classification_method
2608.06276v1,2026-08-06,2026,Stochastic Dynamics on Persistence Diagram Space via Reinforcement Learning,"Persistence diagrams (PDs) provide stable and interpretable summaries of multiscale topological structure. While substantial progress has been made in the statistical analysis of PDs, existing literature often treats diagrams as static objects and provide limited frameworks for probabilistic modeling and stochastic evolution on PD space. We introduce a reinforcement learning framework for stochastic dynamics on PD space, where diagrams evolve through topology aware local edit operations. The dynamics define controlled Markov processes on spaces of finite PDs with variable cardinality. We establish conditions under which the induced Markov chains are irreducible, aperiodic, and geometrically ergodic, implying the existence of unique stationary probability laws on PD space. To guide the dynamics toward scientifically relevant topological targets, we formulate objectives that encompass distribution matching, task specific topological statistics, and structure-preserving compression. The resulting rewards balance task specific distributional targets, diagram fidelity, and complexity reduction, and yield a framework for adaptive topological simplification and probabilistic modeling. Experiments on synthetic and neuroimaging PDs demonstrate that the proposed framework can preserve dominant topological structure while reducing diagram complexity.",Farzana Nasrin,stat.ML,stat.ML; cs.LG; math.AT,math.AT,http://arxiv.org/abs/2608.06276v1,https://arxiv.org/pdf/2608.06276v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI1個）,2026-09-07 04:19:48,分級關鍵字
2607.16177v1,2026-07-17,2026,Physics-enhanced reinforcement learning for real-time optimal control of dynamical systems,"Reinforcement learning (RL) has recently emerged as a promising feedback control strategy for nonlinear and complex dynamical systems. However, RL algorithms are sample inefficient and require a large number of interaction with the environment to synthesize optimal control strategies. Consequently, applications of RL are typically limited to sparse sensors and actuators due to the curse of dimensionality entailed by the exploration-exploitation dilemma in high-dimensional spaces. In this work, we bridge RL and traditional optimal control for dynamical system with a novel Physics-EnhAnced Reinforcement Learning (PEARL) paradigm tailored to the control of high-dimensional and parametric dynamical systems, exploiting the differentibility of their dynamics. Specifically, PEARL employs an actor-adjoint algorithm that leverages automatic differentiation to compute policy gradients over short horizons and adjoint-based sensitivities of future returns approximated via neural networks, significantly reducing the number of environment interactions, while mitigating long-term gradient instabilities. Through two challenging parametric navigation problems in unsteady flows, we show that PEARL (i) effectively exploits differentiable environments to outperform state-of-the-art RL algorithms, (ii) is sample efficient, thanks to the physics-guided policy learning, (iii) generalizes across multiple scenarios, which is crucial when dealing with parametric systems, and (iv) enables scaling RL to high-dimensional state and action spaces, without requiring low-dimensional state representations or multi-agent strategies.","Matteo Tomasetto, Nicolò Botteghi, Gabriele Bruni, Andrea Manzoni",cs.LG,cs.LG; math.OC,math.OC,http://arxiv.org/abs/2607.16177v1,https://arxiv.org/pdf/2607.16177v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI2個）,2026-09-07 04:19:48,分級關鍵字
2607.16092v1,2026-07-17,2026,Dimension-invariant uniform consistency of the empirical spatial distribution function and its associated spatial depth estimator,"We provide a proof that the empirical spatial distribution estimator in $\mathbb R^d$ as well as the corresponding plug-in estimator of the spatial depth are uniformly $L^1$-consistent. The consistency rate only depends on the sample size $n$, not on the dimension $d$ or any tuning or regularization parameters. This is a rare property. The result of this note originates from a conversation with ChatGPT 5.4 Pro as part of some of our own earlier experiments on its mathematical reasoning capabilities.","Felix Gnettner, Hyemin Yeon, Piotr Kokoszka",math.ST,math.ST; math.PR; stat.ML,math.PR;math.ST,http://arxiv.org/abs/2607.16092v1,https://arxiv.org/pdf/2607.16092v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI1個）,2026-09-07 04:19:48,分級關鍵字
2607.15432v1,2026-07-16,2026,Proactive Inpatient Bed Requests for Emergency Department Admissions,"Emergency department (ED) boarding occurs when admitted patients remain in the ED while awaiting inpatient beds. Boarding is a major driver of ED crowding and has been associated with poor patient outcomes. We propose a framework to help EDs reduce boarding time and length of stay by using information about current patients and bed availability to proactively request inpatient beds before admission decisions are finalized.   We formulate the problem as a Markov decision process in which predictions of each patient's admission probability and time to disposition are aggregated to guide early inpatient bed requests. This formulation leads to three data-driven policies based on approximate dynamic programming, reinforcement learning, and a newsvendor-type approach. Using a simulation model based on data from a large ED, we evaluate these policies across a wide range of settings. The simulation study shows that proactive aggregate bed requests can reduce average boarding times for admitted patients by 30-70\% and average length of stay for all ED patients by 6-15\%, while creating only modest idle time for prepared inpatient beds. The newsvendor heuristic provides the most attractive tradeoff between ED performance and inpatient bed idle time, whereas the reinforcement learning heuristic produces smoother bed-request patterns when stability in downstream hospital processes is especially important.   Our work shows how EDs can use prediction tools to make proactive bed-request decisions that improve ED operations while helping managers balance reductions in ED delays against inpatient bed idle time. Our findings also illustrate the value of evaluating both simple myopic heuristics and more sophisticated reinforcement learning-based approaches, since each can offer distinct advantages depending on the performance measures and implementation constraints most important to managers.","QIan Cheng, Nilay Tanik Argon, Aniruddhan Ganesaraman, Serhan Ziya",stat.AP,stat.AP; cs.LG; math.OC; stat.ML; stat.OT,math.OC,http://arxiv.org/abs/2607.15432v1,https://arxiv.org/pdf/2607.15432v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI1個）,2026-09-07 04:19:48,分級關鍵字
2607.08961v1,2026-07-09,2026,NL-PAC: Specification Ambiguity and Certified Minimax Risk Floors in LLM-Mediated Supervision,"Large language models increasingly provide labels, evaluations, and feedback for tasks specified in natural language. When a specification admits multiple readings but the supervision channel does not reveal which is operative, additional labels reduce sampling error without resolving the resulting identification problem. We introduce Natural Language PAC (NL-PAC), a framework that uses a fixed model's thresholded decoding law to define admissible labels and candidate targets. The probability that multiple labels are admissible equals the diameter of the pointwise-admissible target class, and under target-blind supervision every learner incurs worst-case risk of at least half this diameter, at every sample size; the exact randomized minimax risk over this class is attained by a data-independent strategy. Finite-sample confidence bounds make these quantities certifiable from held-out unlabeled inputs. In a frozen Qwen~2.5--3B audit, one prespecified prompt yields a positive model-relative certificate, whereas a paraphrase and exact-rule controls yield zero. A held-out bridge audit finds that supplied candidate reading clauses fail the admissibility condition needed to transfer the certificate to coherent readings. The guarantee is specific to the audited model, prompt, threshold, and input distribution; extending it to human interpretations requires external validation.",Berkay Anahtarci,cs.LG,cs.LG; cs.AI; math.ST,math.ST,http://arxiv.org/abs/2607.08961v1,https://arxiv.org/pdf/2607.08961v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI4個）,2026-09-07 04:19:48,分級關鍵字
2607.01125v1,2026-07-01,2026,ZO-Act: Efficient Zeroth-Order Fine-Tuning via One-Shot Activation-Informed Low-Rank Subspaces,"Zeroth-order (ZO) optimization enables fine-tuning large language models when backpropagation is unavailable or memory-prohibitive, but existing methods often perturb full model weights or randomly constructed low-dimensional subspaces, yielding high-variance estimates and limited performance. We propose ZO-Act, an activation-informed ZO fine-tuning method that restricts perturbations to a fixed low-rank subspace derived from input activations. For each linear layer, ZO-Act computes a small activation basis once at initialization and optimizes only lightweight coefficient matrices using forward-only loss evaluations. This reduces the effective perturbation dimension, exposes explicit trainable variables compatible with momentum-based optimizers such as Adam, and naturally supports quantized LLM fine-tuning by keeping low-bit weights frozen. We analyze ZO-Act as zeroth-order optimization over a restricted coefficient space and show that perturbing the low-dimensional coefficients reduces both the variance-dependent convergence term and the finite-difference error of the ZO estimator, at the cost of a controlled subspace approximation bias that is mitigated by the low-rank structure of LLM activations and gradients. Experiments on Llama-3-8B, OPT-13B, and INT4 Llama-3-8B show consistent gains over strong ZO fine-tuning baselines across language understanding, question answering, and commonsense reasoning.","Xun Dong, Yibo Xu, Naigang Wang, Xin Li, Penghang Yin, Zi Yang",cs.LG,cs.LG; math.OC,math.OC,http://arxiv.org/abs/2607.01125v1,https://arxiv.org/pdf/2607.01125v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI3個）,2026-09-07 04:19:48,分級關鍵字
2606.17414v1,2026-06-16,2026,Memory-Efficient Meta-Reinforcement Learning for Adaptive Safety-Critical Control in Adversarial Spacecraft Proximity Operations,"Autonomous spacecraft rendezvous and proximity operations (RPO) require controllers that guarantee safety under thrust constraints while minimizing fuel expenditure. Input-constrained control barrier functions (ICCBFs) provide a control method for nonlinear systems with actuation constraints that construct a forward-invariant safe set. Previous work has shown that learning class-$\mathcal{K}$ functions defining the ICCBF recursion via meta reinforcement learning (meta-RL) yields a robust, non-greedy approach to safety-critical control in RPO. This paper extends that framework further by investigating the performance of three recurrent network architectures (Long Short Term Memory (LSTM), Gated Recurrent Unit (GRU), Selective State Space Model (Mamba)) and two training algorithms (Proximal Policy Optimization (PPO) and Soft Actor Critic (SAC)) to identify the best setup for tuning ICCBF class-K functions via meta-RL. In addition to cooperative test cases, performance is evaluated in the presence of adversarial behavior where the target spacecraft behaves in a way that worsens the safety of the chaser spacecraft. Results indicate that state space models such as Mamba when used with PPO achieve superior task completion, safety, and fuel-savings compared to other architectures, across all cooperative and uncooperative scenarios tested.","Alejandro Posadas-Nava, Richard Linares, Minduli Wijayatunga",cs.LG,cs.LG; math.DS,math.DS,http://arxiv.org/abs/2606.17414v1,https://arxiv.org/pdf/2606.17414v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI1個）,2026-09-07 04:19:48,分級關鍵字
2606.17165v1,2026-06-15,2026,Statistical Foundations of LLM-based A/B Testing: A Surrogacy Framework for Human Causal Inference,"Organizations and researchers show increasing interest in using large language models (LLMs) in place of human participants in A/B tests, in the hope of experimenting faster and at lower cost. We study when a treatment effect estimated on LLM outcomes recovers the effect that would have been measured on the human population of interest. Distributional equivalence between LLM and human outcomes would make any standard estimator valid but is unrealistic. We therefore develop a statistical framework that adapts surrogate endpoint theory to LLMs. The framework shows that calibrating LLM outcomes to human outcomes identifies the average treatment effect under surrogacy and comparability conditions that are jointly weaker than distributional equivalence. When these conditions fail, the effect of interest is only partially identified, and we provide diagnostics that can falsify surrogacy on historical experiments together with a bound on the worst-case bias from limited overlap. We further show that the stochasticity inherent to LLMs introduces both bias and variance, but using an average of multiple draws as the surrogate mitigates both. We illustrate the methods and theory in simulations and an application to A/B tests on Upworthy headlines. A central takeaway from our work is that the validity of LLM outcomes as surrogates can only be falsified for past treatments and never verified for new ones, so human experiments remain indispensable for novel interventions. We discuss the role of LLM choice, prompting, and temperature as design variables, and how to size human experiments for validation.","Joel Persson, Mårten Schultzberg, Sebastian Ankargren",stat.ME,stat.ME; cs.AI; econ.EM; math.ST,math.ST,http://arxiv.org/abs/2606.17165v1,https://arxiv.org/pdf/2606.17165v1,True,B,0.55,包含數學推理 + AI 關鍵字（推理1個、AI4個）,2026-09-07 04:19:48,分級關鍵字
2608.07388v1,2026-08-07,2026,The Banach lattice Lean library,"We present a Lean 4 library for the theory of Banach lattices. Its purpose is to support the systematic formalization of contemporary research in Banach lattices and related areas. As evidence of this, we describe three research-level formalizations built using the library. Writing the library at scale was made possible by the use of LLMs with careful human supervision and planning. Unlike autoformalization, this approach allows for an actual understanding of the code. This, in turn, led to new mathematical insights that are also discussed. Judging by the interest expressed by other researchers, we expect the library to become a communal effort in the near future. For this reason, we also describe several parts of the theory that could be added next.",David Muñoz-Lahoz,math.FA,math.FA,math.FA,http://arxiv.org/abs/2608.07388v1,https://arxiv.org/pdf/2608.07388v1,True,C,0.95,包含 Proof Assistant 核心關鍵字（3 個）,2026-09-07 04:19:48,分級關鍵字
2607.08986v1,2026-07-09,2026,A Formalization of the Mean-Field Derivation of the Vlasov Equation: AI-Assisted Lean Formalization as a Strategy Game,"We formalize a research result in the Lean 4 proof assistant by having a mathematician direct an AI system, and frame the activity as a formalization game. The objective is to turn a LaTeX document into Lean. The game is won when the development compiles, contains no sorry, and a machine check shows the target theorems rest on Lean's foundational axioms alone. Reuse is a second check, by a definition we introduce: whether the development yields a self-contained layer of general mathematics the wider library could absorb. The case study is a complete, axiom-clean formalization of well-posedness for the nonlinear Vlasov equation via Dobrushin's mean-field route -- existence, uniqueness, the stability estimate and mean-field limit, and a short-window superposition principle (weak solutions are Lagrangian). The human's role was to direct, not to write proofs: to scope the definitions, steer the decompositions, and triage the library's gaps; the AI agent executed. The formalization certifies the proof of each statement as written; whether the written statement is the intended theorem stays the mathematician's judgment. The optimal-transport machinery that fell out of the build (in particular, properties of the Wasserstein-1 metric and the Kantorovich-Rubinstein duality theorem) separates into a self-contained layer that compiles against Mathlib alone: about a sixth of the development (49 of 299 declarations), behind a 22-declaration interface with no reverse dependency. The headline theorems ran in about a week, the full development in about a month. We report the quantitative claims as observations of one game, not as general laws. The game's rules name no particular system, so the methodological framing is meant to outlast the tools of any one run.",Joseph K. Miller,cs.AI,cs.AI; cs.LO; math-ph; math.AP,math.AP,http://arxiv.org/abs/2607.08986v1,https://arxiv.org/pdf/2607.08986v1,True,C,0.95,包含 Proof Assistant 核心關鍵字（3 個）,2026-09-07 04:19:48,分級關鍵字
2606.20358v1,2026-06-18,2026,"Formalizing Extended Complex Numbers, Mobius Transformations, and Cross Ratio in Lean 4","The extended complex plane is a fundamental object in complex analysis, hyperbolic geometry, and mathematical physics. Its geometry is governed by Möbius transformations, with the cross ratio serving as a central invariant. We present a formalization of these concepts in the Lean4 theorem prover. The extended complex plane is represented using Mathlib's Option type over $\mathbb{C}$, where the additional element represents the point at infinity. On this foundation, we define Möbius transformations, their action on the extended complex plane, and the cross ratio. We formalize several basic properties of Möbius transformations, including their group structure, and identify them with a projective general linear group. We also prove the uniqueness of a Möbius transformation mapping any three distinct points to any other three distinct points, and the invariance of the cross ratio. All proofs are machine-checked in Lean 4. The complete development comprises approximately 6,000 lines of Lean code, including about 40 definitions and 150 lemmas and theorems. This work provides a verified foundation for future formalizations of conformal geometry, hyperbolic models, modular forms, and applications in mathematical physics.","Fubin Yan, Kenneth W. Shum",math.CV,math.CV; cs.MS,math.CV,http://arxiv.org/abs/2606.20358v1,https://arxiv.org/pdf/2606.20358v1,True,C,0.95,包含 Proof Assistant 核心關鍵字（3 個）,2026-09-07 04:19:48,分級關鍵字
